"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs"
"1401568455506202626","Bomberos de Santiago ha despachado un carro a emergencia en otra jurisdicción en las esquinas de JOSE JOAQUIN VALLEDOR y AVENIDA JOSE JOAQUIN PEREZ, en la comuna de QUINTA NORMAL #QuintaNormal #B9 https://t.co/vAJEEQsTxk","Bomberos de Santiago","CentralCBS","2021-06-06T15:55:34.000Z","Sun Jun 06 15:55:34 +0000 2021","4","5","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4317203927953,-70.6974922712774 ","2","0","",""
"1401563524195831812","Estamos respondiendo a una emergencia de Accidente eléctrico en las esquinas de GENERAL BAQUEDANO y SAN PABLO, en la comuna de SANTIAGO. Concurren 3 carros de Bomberos de Santiago #Santiago #B4 #Q6 #B11 https://t.co/s8V6S9rdmN","Bomberos de Santiago","CentralCBS","2021-06-06T15:35:58.000Z","Sun Jun 06 15:35:58 +0000 2021","9","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4348192,-70.6663015 ","4","0","",""
"1401562799558561798","Estamos respondiendo a un Rescate en accidente de tránsito en las esquinas de BELLAVISTA y BOMBERO NÚÑEZ, en la comuna de RECOLETA. Concurren 2 carros de Bomberos de Santiago #Recoleta #RX8 #B3 https://t.co/6JqQqkUiBB","Bomberos de Santiago","CentralCBS","2021-06-06T15:33:05.000Z","Sun Jun 06 15:33:05 +0000 2021","5","1","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4341156,-70.6404565 ","3","0","",""
"1401556019227025424","A esta hora, salen 4 carros de Bomberos de Santiago a un llamado estructural en las esquinas de AVENIDA POCURO y JORGE MATTE GORMAZ, en la comuna de PROVIDENCIA #Providencia #B14 #B13 #Q2Ñ #Q6Ñ https://t.co/OwN5GiurYA","Bomberos de Santiago","CentralCBS","2021-06-06T15:06:09.000Z","Sun Jun 06 15:06:09 +0000 2021","7","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.431837,-70.59185 ","5","0","",""
"1401555607837155332","Estamos respondiendo a un llamado estructural en las esquinas de AVENIDA POCURO y CLUB PROVIDENCIA, en la comuna de PROVIDENCIA. Concurren 3 carros de Bomberos de Santiago #Providencia #B14 #B13 #Q2Ñ https://t.co/OwN5GiurYA","Bomberos de Santiago","CentralCBS","2021-06-06T15:04:31.000Z","Sun Jun 06 15:04:31 +0000 2021","6","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.431837,-70.59185 ","4","0","",""
"1401551507678433283","Se despachan 2 carros de Bomberos de Santiago a ECUADOR y MIRAFLORES, comuna de RENCA. Se recibió reporte de una emergencia por presunta emanación de gas #Renca #H4 #B21 https://t.co/GJIhuxd00W","Bomberos de Santiago","CentralCBS","2021-06-06T14:48:13.000Z","Sun Jun 06 14:48:13 +0000 2021","7","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4022855,-70.7399047 ","3","0","",""
"1401535735199588352","Bomberos de Santiago ha despachado un carro a prestar apoyo en un incidente que no es una emergencia en las esquinas de LOS DURAZNOS y LAS VIOLETAS, en la comuna de ESTACIÓN CENTRAL #EstaciónCentral #Q6 https://t.co/pAuHULUgNn","Bomberos de Santiago","CentralCBS","2021-06-06T13:45:33.000Z","Sun Jun 06 13:45:33 +0000 2021","4","1","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4598314,-70.711267 ","2","0","",""
"1401526169841831937","Estamos respondiendo a una emergencia por rescate de persona (s) en las esquinas de CAMINO CIRCUNVALACIÓN NORTE y SENDA SEIS NORTE, en la comuna de LO BARNECHEA. Concurre un carro de Bomberos de Santiago #LoBarnechea #RH19 https://t.co/E5u2D2UOg8","Bomberos de Santiago","CentralCBS","2021-06-06T13:07:32.000Z","Sun Jun 06 13:07:32 +0000 2021","4","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.3550721,-70.5000669 ","2","0","",""
"1401504542726950913","Estamos respondiendo a una emergencia en las esquinas de RADAL y AVENIDA LIBERTADOR BERNARDO O\'HIGGINS, en la comuna de ESTACIÓN CENTRAL. Concurren 2 carros de Bomberos de Santiago #EstaciónCentral #B16 #Q6 https://t.co/6l1HNnfucT","Bomberos de Santiago","CentralCBS","2021-06-06T11:41:36.000Z","Sun Jun 06 11:41:36 +0000 2021","9","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4557956,-70.7012684 ","3","0","",""
"1401438484607426560","Estamos respondiendo a un rescate de persona (s) en las esquinas de MARTÍN DE ZAMORA y SORIA, en la comuna de LAS CONDES. Concurren 2 carros de Bomberos de Santiago #LasCondes #MX13 #B14 https://t.co/jGo3T4qK00","Bomberos de Santiago","CentralCBS","2021-06-06T07:19:06.000Z","Sun Jun 06 07:19:06 +0000 2021","7","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4218045,-70.5791547 ","3","0","",""
